frame,trace_ms,gather_ms,net_wall_ms,net_gpu_ms,net_commit_ms,net_wait_ms,demod_ms,present_ms,total_ms
1,0.8772,16.8620,0.0406,0.0000,0.0127,0.0000,0.2120,1.1230,19.1148
2,1.0772,30.7203,248.7310,13.4186,0.0099,248.6931,0.2510,0.1003,280.8799
3,0.1162,13.8847,0.0351,13.1475,0.0085,0.0015,0.2300,0.0910,14.3570
4,0.1868,13.2295,49.5601,5.9181,0.0103,49.5189,0.2938,6.4042,69.6745
5,0.1683,11.8938,3.9273,8.9705,0.0049,3.9047,0.2575,0.0958,16.3427
6,0.1920,12.6173,1.8317,7.0818,0.0077,1.8044,0.2822,0.1080,15.0312
7,0.1370,10.8221,14.2483,5.4424,0.0033,14.2282,0.3216,0.0949,25.6238
8,0.2044,13.3237,3.9958,5.8427,0.0056,3.9677,0.2033,0.0759,17.8030
9,0.1467,14.7317,14.6134,8.1103,0.0069,14.5831,0.2743,0.0790,29.8450
10,0.1083,10.4466,0.0296,6.6267,0.0079,0.0014,0.2257,0.0612,10.8714
11,0.1134,10.8665,13.6173,5.3567,0.0075,13.5799,5.9058,0.0757,30.5788
12,0.2999,10.9581,27.4696,6.0844,0.0140,27.4286,0.2417,0.0770,39.0464
13,0.1033,10.8483,0.0389,4.9086,0.0126,0.0019,0.2259,0.0943,11.3105
14,0.1741,12.7925,4.0054,5.1978,0.0132,3.9572,0.2530,0.0912,17.3161
15,0.1753,16.3795,34.7433,5.1236,0.0040,34.7230,0.2324,0.0698,51.6002
16,0.1362,11.4387,0.0312,5.1250,0.0082,0.0017,0.2169,0.0746,11.8977
17,0.1248,18.8492,0.0273,4.7924,0.0062,0.0011,0.2440,0.0722,19.3175
18,0.1321,13.2463,19.7657,12.0187,0.0132,19.7134,0.2564,0.0769,33.4775
19,0.1242,12.1063,0.0289,8.0015,0.0062,0.0013,0.2144,0.0603,12.5341
20,0.1560,13.6860,4.3420,5.2158,0.0187,4.2950,0.2517,0.0851,18.5209
21,0.1447,24.6694,0.0361,5.2617,0.0096,0.0013,0.2456,0.0880,25.1839
22,0.1805,18.0547,0.0318,5.3235,0.0070,0.0013,0.1966,0.0648,18.5284
23,0.4721,15.1708,8.2001,4.7385,0.0155,8.1486,0.2561,0.0974,24.1965
24,0.1790,12.7251,0.0287,6.8965,0.0074,0.0015,0.2075,0.0970,13.2373
25,0.1603,18.7862,0.0302,4.7566,0.0070,0.0014,0.1905,0.0658,19.2330
26,0.1267,12.9475,18.0067,11.1900,0.0137,17.9551,0.2790,0.0639,31.4238
27,0.1118,11.6782,0.0416,10.1120,0.0125,0.0014,0.2639,0.0981,12.1936
28,0.1878,13.7540,4.8866,5.2629,0.0134,4.8522,0.2337,0.0805,19.1426
29,0.2092,21.3873,0.0321,7.6174,0.0084,0.0015,0.2350,0.0700,21.9336
30,0.1840,14.7806,7.5937,14.1839,0.0138,7.5531,0.3075,0.1040,22.9698
31,0.1171,25.7455,0.5274,13.4329,0.0209,0.4590,0.2458,0.0701,26.7059
32,0.1957,14.7085,8.3582,13.9032,0.0071,8.3280,0.2418,0.0671,23.5713
33,0.1778,18.7722,0.0311,9.5261,0.0071,0.0006,0.2782,0.0673,19.3265
34,0.1914,14.8086,7.3692,13.3848,0.0094,7.3305,0.2770,0.0811,22.7274
35,0.1709,25.5210,2.6326,12.3734,0.0090,2.6020,0.2442,0.0840,28.6528
36,0.1748,20.8544,0.0526,5.3872,0.0221,0.0017,0.2883,0.0897,21.4597
37,0.2207,19.5845,3.8318,4.9855,0.0073,3.7992,0.2793,0.0857,24.0020
38,0.1991,14.7871,12.3453,14.3575,0.0070,12.3113,0.2777,0.0744,27.6837
39,0.1973,13.9128,8.8725,11.7285,0.0061,8.8433,0.3275,0.0887,23.3987
40,0.1517,15.1381,0.0411,6.7509,0.0127,0.0014,0.2960,0.0982,15.7251
41,0.1536,22.5689,0.0354,4.8910,0.0081,0.0014,0.2782,0.0848,23.1209
42,0.2040,15.0331,7.8859,10.7474,0.0150,7.8413,0.3703,0.0851,23.5785
43,0.1761,18.5680,0.0308,9.4105,0.0071,0.0014,0.2450,0.0636,19.0834
44,0.1842,15.3952,6.9857,12.7364,0.0145,6.9494,0.2572,0.0655,22.8879
45,0.1585,23.2742,9.4778,5.5196,0.0145,9.4039,0.2746,0.0772,33.2624
46,0.1870,15.3151,0.0928,6.1719,0.0438,0.0022,0.1839,0.0921,15.8709
47,0.2865,19.7117,0.0446,4.8903,0.0131,0.0018,0.2885,0.0930,20.4243
48,0.1963,15.9385,6.5195,10.3702,0.0051,6.4964,0.2385,0.1009,22.9937
49,0.1657,27.8384,0.0502,10.8784,0.0137,0.0022,0.3243,0.1083,28.4869
50,0.2277,16.0237,6.3661,10.8787,0.0148,6.3203,0.2794,0.0670,22.9640
51,0.1743,26.4320,1.1736,8.4607,0.0118,1.1330,0.2138,0.0833,28.0770
52,0.2202,22.5048,0.0478,5.7324,0.0126,0.0018,0.3010,0.0948,23.1687
53,0.2084,23.1052,0.0381,4.9020,0.0076,0.0018,0.2870,0.0729,23.7115
54,0.1810,14.3904,19.9071,10.1850,0.0094,19.8705,0.3009,0.0779,34.8573
55,0.1488,13.4377,0.0429,8.1352,0.0089,0.0016,0.2428,0.0900,13.9622
56,0.2179,15.7599,8.3328,12.6881,0.0100,8.3034,0.3596,0.0760,24.7462
57,0.1995,20.2256,0.0452,10.0340,0.0117,0.0015,0.2594,0.1060,20.8358
58,0.1803,16.0820,10.4375,12.8301,0.0075,10.4027,0.3109,0.0821,27.0929
59,0.2205,15.9457,0.0390,7.9656,0.0114,0.0017,0.2722,0.1006,16.5780
60,0.2556,20.1186,0.0353,4.8358,0.0078,0.0018,0.2607,0.0658,20.7360
