frame,trace_ms,gather_ms,net_wall_ms,net_gpu_ms,net_commit_ms,net_wait_ms,demod_ms,present_ms,total_ms
1,10.4627,3.2591,0.0291,0.0000,0.0063,0.0000,0.2378,0.6295,14.6183
2,10.9075,3.5304,13.8711,8.3070,0.0098,13.8117,0.4241,0.2049,28.9380
3,14.4112,1.9720,74.9700,5.1389,0.0097,74.9416,0.2099,0.0960,91.6591
4,20.3687,2.1036,5.9042,19.3970,0.0062,5.8697,0.3742,0.2113,28.9620
5,10.2158,1.9774,43.8150,5.4642,0.0216,43.7710,0.2499,0.0936,56.3517
6,9.5880,1.7569,0.0243,5.3219,0.0048,0.0018,0.1554,0.0893,11.6140
7,16.7830,1.6992,0.0240,5.1228,0.0062,0.0014,0.2260,0.1000,18.8322
8,12.3313,1.8222,4.9070,5.7676,0.0107,4.8715,0.2904,0.0682,19.4191
9,15.0347,1.7535,0.0177,7.9153,0.0045,0.0011,0.1211,0.0852,17.0121
10,11.9827,1.9031,4.1686,5.6349,0.0064,4.1410,0.1626,0.0867,18.3037
11,20.1668,5.3658,0.0731,5.7229,0.0045,0.0502,0.1994,0.0913,25.8963
12,16.8444,1.7378,0.0228,5.4604,0.0087,0.0014,0.1329,0.0795,18.8174
13,15.6752,1.9166,0.0310,4.8114,0.0108,0.0014,0.1481,0.0772,17.8481
14,15.2189,2.1896,1.4351,6.1511,0.0223,1.3817,0.1701,0.0712,19.0849
15,17.3783,1.6807,0.0207,5.7993,0.0068,0.0012,0.1402,0.0846,19.3047
16,12.1605,1.8728,3.6569,5.5166,0.0091,3.6268,0.2385,0.0990,18.0275
17,21.9920,1.9322,0.0287,4.9792,0.0070,0.0017,0.2395,0.0946,24.2870
18,12.2364,1.9870,7.1876,5.5144,0.0061,7.1585,0.2756,0.1104,21.7970
19,13.2094,2.0245,0.0187,7.0878,0.0046,0.0013,0.1522,0.0903,15.4951
20,17.1283,1.8163,0.0198,5.0583,0.0043,0.0014,0.1398,0.0882,19.1924
21,16.7432,1.8292,0.0229,4.8306,0.0052,0.0015,0.2240,0.0643,18.8835
22,12.4702,2.3494,11.6021,12.5161,0.0086,11.5619,0.2527,0.0675,26.7418
23,14.5520,1.8682,0.0189,11.4543,0.0047,0.0013,0.1335,0.1507,16.7232
24,13.1383,2.2090,3.6195,5.5977,0.0134,3.5775,0.2040,0.0591,19.2298
25,23.3152,1.8190,0.0215,12.9555,0.0055,0.0014,0.1630,0.0939,25.4126
26,13.2050,1.8763,8.7417,9.5422,0.0055,8.7167,0.2825,0.0652,24.1707
27,16.0710,1.9022,0.0237,7.4989,0.0066,0.0016,0.1713,0.0908,18.2590
28,20.0899,1.9065,0.4647,9.8032,0.0056,0.4436,0.2501,0.0806,22.7919
29,16.5202,9.7120,0.1037,5.3883,0.0068,0.0675,0.1750,0.0612,26.5720
30,13.2572,1.8416,11.2236,13.6160,0.0113,11.1801,0.2858,0.0828,26.6910
31,15.3148,1.7489,0.0240,8.7254,0.0054,0.0014,0.1523,0.1007,17.3408
32,21.6240,1.8620,0.0215,5.5126,0.0057,0.0015,0.1885,0.0686,23.7645
33,22.7334,1.7961,0.0429,5.0256,0.0049,0.0017,0.2157,0.0751,24.8632
34,19.3074,2.0004,3.2485,9.3717,0.0078,3.2255,0.2450,0.1017,24.9030
35,19.9549,1.8330,0.0313,5.4820,0.0070,0.0015,0.2051,0.1103,22.1346
36,14.1358,2.6003,7.1627,9.8821,0.0106,7.1260,0.2057,0.0786,24.1832
37,20.6089,2.0345,0.0309,9.2607,0.0054,0.0015,0.1620,0.0784,22.9148
38,23.3265,1.6511,0.0159,5.4261,0.0036,0.0014,0.1424,0.0840,25.2199
39,23.1475,1.7589,0.0390,5.2141,0.0053,0.0018,0.2028,0.0837,25.2320
40,22.8655,1.8053,0.0211,5.5950,0.0049,0.0013,0.1817,0.0864,24.9600
41,23.0764,1.6840,0.0225,5.2439,0.0054,0.0013,0.1728,0.0720,25.0277
42,14.9202,1.8938,11.1270,10.5098,0.0076,11.0930,0.2815,0.0751,28.2975
43,14.2668,1.9058,0.0931,8.3653,0.0311,0.0055,0.1576,0.0695,16.4929
44,23.4136,1.7906,0.0177,5.4488,0.0043,0.0009,0.1359,0.0686,25.4263
45,23.0445,1.8663,0.0243,5.2516,0.0060,0.0012,0.1230,0.0692,25.1274
46,22.8946,1.9150,0.0194,5.4004,0.0050,0.0012,0.1755,0.0607,25.0653
47,22.4962,1.9256,0.0239,4.9255,0.0053,0.0013,0.1595,0.0756,24.6808
48,24.1784,2.0862,0.0422,5.8179,0.0160,0.0025,0.1875,0.0700,26.5644
49,22.1692,1.8636,0.0228,15.2693,0.0058,0.0013,0.1770,0.0843,24.3170
50,22.9009,1.6793,0.0166,5.5137,0.0036,0.0013,0.1157,0.0840,24.7965
51,23.6311,1.9233,0.0235,10.9878,0.0050,0.0010,0.1530,0.0792,25.8101
52,23.8637,1.7755,0.0209,5.5318,0.0048,0.0016,0.1485,0.0867,25.8953
53,24.6107,1.7962,0.0245,4.9608,0.0057,0.0016,0.1678,0.0663,26.6655
54,24.3548,2.2302,0.0323,5.7402,0.0066,0.0014,0.1900,0.0744,26.8816
55,22.3609,1.9248,0.0250,16.2161,0.0062,0.0013,0.1851,0.0655,24.5613
56,23.5375,1.7851,0.0235,5.4805,0.0045,0.0016,0.1670,0.0772,25.5902
57,23.3093,1.8002,0.0494,14.3052,0.0071,0.0013,0.1723,0.0900,25.4210
58,23.2271,1.9118,0.0264,5.6758,0.0095,0.0017,0.1772,0.0871,25.4297
59,24.0601,1.8273,0.0332,5.0297,0.0078,0.0052,0.2561,0.0950,26.2716
60,23.5126,1.7540,0.0247,5.3979,0.0052,0.0015,0.1357,0.0842,25.5112
61,23.4299,1.8465,0.0300,4.8415,0.0085,0.0015,0.1827,0.0699,25.5589
62,24.6570,2.1519,0.0285,5.9518,0.0067,0.0018,0.2168,0.1091,27.1633
63,22.1683,2.3579,0.0252,5.2287,0.0054,0.0014,0.1595,0.0913,24.8022
64,24.4498,1.8388,0.0240,10.9481,0.0060,0.0014,0.1667,0.0893,26.5687
65,23.7707,1.8358,0.0284,4.8331,0.0065,0.0016,0.2611,0.0745,25.9704
66,25.2975,1.7916,0.0250,13.7366,0.0064,0.0015,0.1843,0.0905,27.3889
67,24.1160,1.7922,0.0312,5.1393,0.0072,0.0017,0.2013,0.1129,26.2536
